01.01;05:36:49;20:53:38;15:16:49
02.01;05:37:41;20:53:41;15:15:59
03.01;05:38:35;20:53:42;15:15:06
04.01;05:39:31;20:53:40;15:14:08
05.01;05:40:28;20:53:35;15:13:06
06.01;05:41:28;20:53:28;15:12:00
07.01;05:42:29;20:53:19;15:10:49
08.01;05:43:31;20:53:07;15:09:35
09.01;05:44:35;20:52:53;15:08:17
10.01;05:45:41;20:52:37;15:06:55
11.01;05:46:47;20:52:18;15:05:30
12.01;05:47:56;20:51:56;15:04:00
13.01;05:49:05;20:51:33;15:02:26
14.01;05:50:16;20:51:07;15:00:50
15.01;05:51:28;20:50:38;14:59:09
16.01;05:52:41;20:50:08;14:57:27
17.01;05:53:55;20:49:35;14:55:39
18.01;05:55:09;20:49:00;14:53:50
19.01;05:56:25;20:48:23;14:51:57
20.01;05:57:42;20:47:43;14:50:00
21.01;05:58:59;20:47:01;14:48:02
22.01;06:00:17;20:46:18;14:46:00
23.01;06:01:36;20:45:32;14:43:54
24.01;06:02:55;20:44:44;14:41:47
25.01;06:04:15;20:43:54;14:39:38
26.01;06:05:36;20:43:02;14:37:26
27.01;06:06:57;20:42:08;14:35:11
28.01;06:08:18;20:41:12;14:32:53
29.01;06:09:39;20:40:14;14:30:34
30.01;06:11:01;20:39:15;14:28:13
31.01;06:12:23;20:38:13;14:25:49
01.02;06:13:45;20:37:10;14:23:24
02.02;06:15:08;20:36:05;14:20:57
03.02;06:16:30;20:34:59;14:18:28
04.02;06:17:52;20:33:50;14:15:57
05.02;06:19:15;20:32:40;14:13:24
06.02;06:20:37;20:31:29;14:10:51
07.02;06:22:00;20:30:15;14:08:15
08.02;06:23:22;20:29:01;14:05:38
09.02;06:24:44;20:27:44;14:02:59
10.02;06:26:06;20:26:27;14:00:20
11.02;06:27:28;20:25:08;13:57:38
12.02;06:28:50;20:23:47;13:54:56
13.02;06:30:11;20:22:25;13:52:13
14.02;06:31:32;20:21:02;13:49:28
