01.01;10:01:39;16:05:38;06:03
02.01;10:01:07;16:07:04;06:05
03.01;10:00:31;16:08:35;06:08
04.01;09:59:49;16:10:10;06:10
05.01;09:59:03;16:11:50;06:12
06.01;09:58:11;16:13:33;06:15
07.01;09:57:15;16:15:21;06:18
08.01;09:56:15;16:17:12;06:20
09.01;09:55:09;16:19:06;06:23
10.01;09:54:00;16:21:05;06:27
11.01;09:52:46;16:23:06;06:30
12.01;09:51:28;16:25:11;06:33
13.01;09:50:06;16:27:18;06:37
14.01;09:48:40;16:29:28;06:40
15.01;09:47:10;16:31:41;06:44
16.01;09:45:37;16:33:57;06:48
17.01;09:44:00;16:36:14;06:52
18.01;09:42:19;16:38:34;06:56
19.01;09:40:35;16:40:56;07:00
20.01;09:38:48;16:43:20;07:04
21.01;09:36:58;16:45:46;07:08
22.01;09:35:04;16:48:13;07:13
23.01;09:33:08;16:50:42;07:17
24.01;09:31:09;16:53:12;07:22
25.01;09:29:07;16:55:43;07:26
26.01;09:27:03;16:58:15;07:31
27.01;09:24:56;17:00:49;07:35
28.01;09:22:46;17:03:23;07:40
29.01;09:20:34;17:05:58;07:45
30.01;09:18:20;17:08:34;07:50
31.01;09:16:04;17:11:10;07:55
01.02;09:13:45;17:13:47;08:00
02.02;09:11:25;17:16:25;08:04
03.02;09:09:02;17:19:02;08:09
04.02;09:06:38;17:21:40;08:15
05.02;09:04:12;17:24:19;08:20
06.02;09:01:44;17:26:57;08:25
07.02;08:59:14;17:29:35;08:30
08.02;08:56:43;17:32:14;08:35
09.02;08:54:10;17:34:52;08:40
10.02;08:51:35;17:37:30;08:45
11.02;08:48:59;17:40:09;08:51
12.02;08:46:22;17:42:47;08:56
13.02;08:43:43;17:45:24;09:01
14.02;08:41:03;17:48:02;09:06
15.02;08:38:22;17:50:39;09:12
16.02;08:35:39;17:53:16;09:17
17.02;08:32:55;17:55:53;09:22
18.02;08:30:10;17:58:29;09:28
19.02;08:27:24;18:01:05;09:33
20.02;08:24:37;18:03:40;09:39
21.02;08:21:49;18:06:15;09:44
22.02;08:19:00;18:08:50;09:49
23.02;08:16:11;18:11:24;09:55
24.02;08:13:20;18:13:57;10:00
25.02;08:10:28;18:16:31;10:06
26.02;08:07:36;18:19:03;10:11
27.02;08:04:42;18:21:36;10:16
28.02;08:01:48;18:24:07;10:22
01.03;07:58:54;18:26:39;10:27
02.03;07:55:58;18:29:10;10:33
